object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
1940s-ucsb,1940s UCSB,1940s UCSB,,,,,,,,,,,,
1946-master-plan,1946 master plan,1946 master plan,,,,,,,,,,,,
b1f1044e754f1e973db6dc1de41eacac,1990s long range plan thingy,1990s long range plan thingy,,,,,,,,,,,,
bw-mockup,b&w mockup,b&w mockup,,,,,,,,,,,,
california-native-culture,California -- Native Culture,California -- Native Culture,,,,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~234860~5510406/manifest,,,,,,David Rumsey Historical Map Collection,"https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~234860~5510406/full/!96,96/0/default.jpg",
download,download,download,,,,,,,,,,,,
download-10,download (10),download (10),,,,,,,,,,,,
download-8,download (8),download (8),,,,,,,,,,,,
download-9,download (9),download (9),,,,,,,,,,,,
fourth-floor,fourth floor,fourth floor,,,,,,,,,,,,
ground-floor,ground floor,ground floor,,,,,,,,,,,,
hssb-mockup-1,HSSB mockup 1,HSSB mockup 1,,,,,,,,,,,,
hssb-mockup-2,HSSB mockup 2,HSSB mockup 2,,,,,,,,,,,,
img4547,IMG_4547,IMG_4547,,,,,,,,,,,,
img4553,IMG_4553,IMG_4553,,,,,,,,,,,,
img4555,IMG_4555,IMG_4555,,,,,,,,,,,,
img4604,Tomol,Tomol,,,,,,,,,,,,
img9560,IMG_9560,IMG_9560,,,,,,,,,,,,
mockup-3,mockup 3,mockup 3,,,,,,,,,,,,
original-1950-master-plan,ORIGINAL 1950 master plan,ORIGINAL 1950 master plan,,,,,,,,,,,,
perpective-sketches,perpective sketches,perpective sketches,,,,,,,,,,,,
screenshot-20260528-at-11018-pm,Nexus Article,Nexus Article,,,,,,,,,,,,
screenshot-20260609-at-62426-pm,Screenshot 2026-06-09 at 6.24.26 PM,Screenshot 2026-06-09 at 6.24.26 PM,,,,,,,,,,,,
screenshot-20260609-at-62622-pm,Screenshot 2026-06-09 at 6.26.22 PM,Screenshot 2026-06-09 at 6.26.22 PM,,,,,,,,,,,,
screenshot-20260609-at-62703-pm,Screenshot 2026-06-09 at 6.27.03 PM,Screenshot 2026-06-09 at 6.27.03 PM,,,,,,,,,,,,
second-floor,second floor,second floor,,,,,,,,,,,,
site-map,site map,site map,,,,,,,,,,,,
sixth-floor,sixth floor,sixth floor,,,,,,,,,,,,
stair-tower-mockup,stair tower mockup,stair tower mockup,,,,,,,,,,,,
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
third-floor,third floor,third floor,,,,,,,,,,,,
tower-mockup-2,tower mockup 2,tower mockup 2,,,,,,,,,,,,
view-of-base,view of base,view of base,,,,,,,,,,,,
